"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0043200","GO:0043200","response to amino acid","16/1023","130/18860",0.123076923076923,2.26904278517182,3.4770848824612,0.00180857870047085,0.0222704981250348,0.0182267334507063,"ASS1/COL16A1/COL1A1/COL1A2/COL3A1/COL5A2/COL6A1/DNMT1/EIF2S1/HNRNPAB/MMP2/MTHFR/PCNA/PDGFRA/SESN2/STAMBPL1",16
"GO:0036294","GO:0036294","cellular response to decreased oxygen levels","19/1023","167/18860",0.11377245508982,2.09750586802934,3.41162921286746,0.0018186391527813,0.0222704981250348,0.0182267334507063,"CCNA2/CCNB1/CFLAR/DDAH1/DDR2/DRAM1/E2F1/EPHA4/FGFR2/FOXO3/MGARP/NDNF/NDRG1/SCN2A/STC2/SUV39H1/TP53/VASN/ZFP36L1",19
"GO:0051494","GO:0051494","negative regulation of cytoskeleton organization","19/1023","167/18860",0.11377245508982,2.09750586802934,3.41162921286746,0.0018186391527813,0.0222704981250348,0.0182267334507063,"ADD3/ARHGAP28/ARHGEF2/BRCA1/CCNF/CGNL1/CKAP2/CLIP3/CORO2B/DIAPH3/LIMA1/MAPRE1/MET/RDX/SPTA1/SSH2/STMN1/SVIL/TPX2",19
"GO:0055017","GO:0055017","cardiac muscle tissue growth","13/1023","95/18860",0.136842105263158,2.52281730719761,3.56345733392963,0.00182179482208509,0.0222704981250348,0.0182267334507063,"ABL1/CCNB1/CDK1/COL14A1/FGFR2/FOXP1/HEG1/NOG/PDLIM5/PIM1/RGS2/RGS4/TGFBR3",13
"GO:0051131","GO:0051131","chaperone-mediated protein complex assembly","6/1023","25/18860",0.24,4.42463343108504,4.10334019969927,0.00182489665971453,0.0222704981250348,0.0182267334507063,"CCT2/CLU/HSP90AA1/HSPA4/HSPD1/PTGES3",6
"GO:0071214","GO:0071214","cellular response to abiotic stimulus","33/1023","355/18860",0.0929577464788732,1.71376646978646,3.25133721669513,0.00185064457744902,0.0224806410421918,0.0183987196773309,"ARHGEF2/AURKB/BDKRB2/BLM/BRCA1/CCND2/CHEK1/COL1A1/CUL4B/ECT2/EGR1/EIF2S1/IRF1/ITGB3/MAP3K20/MFAP4/MMP2/NFATC4/PBK/PCNA/PTPRK/RAD51/RAD51AP1/RELB/SCN2A/SLC25A23/TLR3/TNFSF14/TNKS1BP1/TP53/TP53INP1/XRCC5/ZFP36L1",33
"GO:0104004","GO:0104004","cellular response to environmental stimulus","33/1023","355/18860",0.0929577464788732,1.71376646978646,3.25133721669513,0.00185064457744902,0.0224806410421918,0.0183987196773309,"ARHGEF2/AURKB/BDKRB2/BLM/BRCA1/CCND2/CHEK1/COL1A1/CUL4B/ECT2/EGR1/EIF2S1/IRF1/ITGB3/MAP3K20/MFAP4/MMP2/NFATC4/PBK/PCNA/PTPRK/RAD51/RAD51AP1/RELB/SCN2A/SLC25A23/TLR3/TNFSF14/TNKS1BP1/TP53/TP53INP1/XRCC5/ZFP36L1",33
"GO:0048705","GO:0048705","skeletal system morphogenesis","24/1023","232/18860",0.103448275862069,1.90716958236424,3.32955044049455,0.00186105674222293,0.0225551520574696,0.0184597013584314,"ACVR2B/CHSY1/COL11A1/COL1A1/COL3A1/CSGALNACT1/EYA1/FGFR2/FOXN3/GLI3/IFT140/INSIG1/MEGF8/MGP/MMP14/MMP2/MTHFD1/NOG/P2RX7/PAPPA2/PDGFRA/POC1A/TMEM107/TMEM119",24
"GO:0071900","GO:0071900","regulation of protein serine/threonine kinase activity","15/1023","119/18860",0.126050420168067,2.32386209615811,3.46941370135524,0.00195522999605348,0.0235964381857744,0.0193119160058081,"BLM/CCNE2/CDC25A/CDC25C/CDC6/CDKN3/CEMIP/DIRAS3/DUSP1/EZH2/HEG1/NEK10/PDGFRB/PIM1/PKMYT1",15
"GO:0002931","GO:0002931","response to ischemia","10/1023","63/18860",0.158730158730159,2.92634486182873,3.66772093186088,0.00196040211027488,0.0235964381857744,0.0193119160058081,"CSF1/EGR1/MYB/NDNF/NPR3/P2RX7/PANX2/RCAN1/SQSTM1/TP53",10
"GO:0006998","GO:0006998","nuclear envelope organization","10/1023","63/18860",0.158730158730159,2.92634486182873,3.66772093186088,0.00196040211027488,0.0235964381857744,0.0193119160058081,"CDC25A/CDK1/CHEK1/CHMP1B/LMNB1/LMNB2/LPIN1/NUP93/PLK1/VRK1",10
"GO:0048545","GO:0048545","response to steroid hormone","32/1023","343/18860",0.0932944606413994,1.71997412287077,3.22266286801051,0.00203169812901532,0.0243988896040291,0.0199686623446441,"ANXA1/ASS1/BCL2L11/BRCA1/CALCOCO1/CBX3/CCND1/CFLAR/CLDN1/COL1A1/CREBRF/CYP7B1/DUSP1/FBXO32/FOXO3/FOXP1/HDAC2/HMGB1/HMGB2/HSPA8/IL6/LBH/MGARP/PCNA/PMEPA1/PTGDS/SGK1/SLIT3/VDR/YWHAH/ZFP36L1/ZMIZ1",32
"GO:1903706","GO:1903706","regulation of hemopoiesis","39/1023","443/18860",0.0880361173814898,1.62303145045445,3.17788831628366,0.00204923836010694,0.0245536014420086,0.0200952823877472,"ABL1/ACTL6A/ANXA1/CBFB/CORO1C/CSF1/CYLD/FANCA/FANCD2/FAXDC2/FBN1/FOXO3/FOXP1/GATA2/GLI3/HLX/HMGB1/HMGB2/HMGB3/IL7R/IRF1/KLF13/MAFB/MMP14/MYB/NEDD9/NFKBIA/NFKBIZ/PNP/RB1/TLR3/TNFAIP6/TNFRSF11B/TOX/UBASH3B/ZBTB16/ZC3H12A/ZFP36L1/ZMIZ1",39
"GO:1902652","GO:1902652","secondary alcohol metabolic process","19/1023","169/18860",0.112426035502959,2.0726833133781,3.35455447882982,0.00208726848847583,0.0247995737215808,0.0202965922619518,"CH25H/CLN8/CYP51A1/CYP7B1/DHCR7/GPR146/HMGCR/HMGCS1/INSIG1/LDLR/LIMA1/LSS/MSMO1/MVD/PCSK9/SC5D/SQLE/SREBF2/STARD4",19
"GO:0033212","GO:0033212","iron import into cell","4/1023","11/18860",0.363636363636364,6.70399004709855,4.53176295931677,0.00208858321934406,0.0247995737215808,0.0202965922619518,"SLC11A2/SLC39A14/SLC39A8/STEAP2",4
"GO:0045835","GO:0045835","negative regulation of meiotic nuclear division","4/1023","11/18860",0.363636363636364,6.70399004709855,4.53176295931677,0.00208858321934406,0.0247995737215808,0.0202965922619518,"KNL1/RPS6KA2/TRIP13/ZWINT",4
"GO:2000104","GO:2000104","negative regulation of DNA-templated DNA replication","4/1023","11/18860",0.363636363636364,6.70399004709855,4.53176295931677,0.00208858321934406,0.0247995737215808,0.0202965922619518,"CDT1/GMNN/TIMELESS/TIPIN",4
"GO:1902106","GO:1902106","negative regulation of leukocyte differentiation","15/1023","120/18860",0.125,2.30449657869013,3.43308862700873,0.00212525645209323,0.0251783191358102,0.0206065669949856,"ANXA1/CBFB/FBN1/GATA2/GLI3/HLX/HMGB1/HMGB3/IRF1/MAFB/TLR3/TNFAIP6/TNFRSF11B/UBASH3B/ZC3H12A",15
"GO:0002520","GO:0002520","immune system development","22/1023","208/18860",0.105769230769231,1.94995864350703,3.29920957268642,0.00213666567579451,0.0252567296923512,0.0206707401583236,"ABL1/ADAM17/BCL2L11/CACNB4/CCNB2/CDKN2B/EXO1/HMGB1/HMGB2/HSPD1/IL7R/MAFB/MSH2/MYB/NFKB2/NFKBIZ/NSD2/PDPN/POLQ/TNFAIP3/TOX/TP53",22
"GO:0045137","GO:0045137","development of primary sexual characteristics","25/1023","248/18860",0.100806451612903,1.85846498281462,3.25902839390201,0.00216055132677462,0.0254819386907289,0.020855056843163,"ADAMTS1/ASPM/BCL2L11/BRIP1/CCND1/DMC1/FANCA/FANCG/FOXO3/FZD4/GFRA1/GMNC/HMGB2/KDR/KIF18A/MMP14/MMP2/MSH2/NASP/NUP107/PDGFRA/RRM1/SLIT3/TLR3/TNFAIP6",25
"GO:0014706","GO:0014706","striated muscle tissue development","38/1023","430/18860",0.0883720930232558,1.62922548819023,3.16092438977614,0.00217311288069556,0.0255728819353281,0.0209294870723006,"ABL1/ACTC1/BCL9L/CACNA1G/CACYBP/CCNB1/CDK1/CENPF/CFLAR/CNTNAP1/COL11A1/COL14A1/COL6A1/COPS2/DKK1/EFNB2/EGR1/ELN/EYA1/FGFR2/FOXP1/HEG1/HLX/MEGF10/MSC/NOG/PDGFRA/PDGFRB/PDLIM5/PIM1/RB1/RCAN1/RGS2/RGS4/SEMA3C/SGCD/SVIL/TGFBR3",38
"GO:0007063","GO:0007063","regulation of sister chromatid cohesion","5/1023","18/18860",0.277777777777778,5.12110350820028,4.18911725353605,0.00220175263167771,0.02585220461961,0.0211580917530113,"BUB1/ESPL1/FEN1/RAD21/SFPQ",5
"GO:0000018","GO:0000018","regulation of DNA recombination","17/1023","145/18860",0.117241379310345,2.16145886001281,3.36224346099672,0.00224427285741531,0.0262060902628362,0.0214477206268201,"ABL1/ACTL6A/ACTR2/BLM/CHEK1/FANCB/FUS/IL7R/KPNA2/MSH2/NSD2/PARPBP/PLK1/POLQ/RAD51/RAD51AP1/TIMELESS",17
"GO:0043277","GO:0043277","apoptotic cell clearance","8/1023","44/18860",0.181818181818182,3.35199502354928,3.74054880422553,0.00225970862791858,0.0262060902628362,0.0214477206268201,"ANXA1/C3/HMGB1/ITGAV/ITGB3/LRP1/MEGF10/TGM2",8
"GO:0010715","GO:0010715","regulation of extracellular matrix disassembly","6/1023","26/18860",0.230769230769231,4.25445522219716,3.97676504142107,0.00226486964549011,0.0262060902628362,0.0214477206268201,"DDR2/DPP4/FAP/IL6/LRP1/PDPN",6
